,Region,HH_numbers,Marital_status,Age,Children,Female,Drafted,Education,Wellbeing,Employed,Sector,Employment_status,Weekly_working_hours,Occupation,Wage,Second_job,Additional_training_need,Useful_education,Foreign_language_besides_Rus,Foreign_language1,Foreign_language2,Foreign_language1_level,Foreign_language2_level,IT_skills,Read_instructions,Read_letters,Read_articles,Read_journals,Read_manuals,Read_invoices,Read_diagrams,Write_letters,Write_articles,Write_reports,Fill_in_forms,Work_with_prices,Work_with_fractions_percentages,Work_with_graphs,Work_with_formulas,Work_with_statistics,Work_with_computer,Comp_tools_email,Comp_tools_Inet,Comp_tools_Transactions,Comp_tools_Excel,Comp_tools_Word,Comp_tools_Programming,Comp_tools_teleconferences,Comp_tools_other,Required_Comp_skills_level,Have_comp_skills_for_work,Comp_skills_effect_on_employment,Language_skills_on_employment,Russian,English,French,Nothing,Facebook_user,FB_friends,Actual_friends_from_fb,LinkedIn_user,LinkedIn_followers,Actual_followers_from_LinkedIn,Professional_match,Required_education_for_the_job,Have_skills_for_more_demanding_job
1,Երևան,5,Չամուսնացած,26,0,1,,Բակալավր,Բավարար,1,M,Վարձու աշխատող,40,2,260000,Այո,Այո,Ինչ-որ չափով օգտակար,1,Անգլերեն,,Միջին իմացություն,,Գերազանց իմացություն (աղյուսակների և տեքստային խմբագրիչների գերազանց կիրառում),Երբեք,Ամեն օր,Երբեք,Երբեք,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Այո,1,0,0,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,0,1,0,0,1,200,4,1,0,0,Այո,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
2,Երևան,3,Ամուսնացած,31,1,1,,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,0,,,,,,,,Շատ օգտակար,1,Անգլերեն,Ֆրանսերեն,Գերազանց իմացություն,Շատ սահմանափակ իմացություն,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամիսը մեկ անգամից քիչ,Ամեն օր,Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,Ամեն օր,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամեն օր,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Ամիսը մեկ անգամից քիչ,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Այո,1,1,1,1,1,0,0,1,Միջին,Այո,Ոչ,Ոչ,0,1,0,0,1,500,20,1,500,100,Ոչ,Համալսարանից կամ այլ բարձրագույն ուսումնական հաստատությունից ստացած աստիճան/որակավորում,Այո
3,Արագածոտն,7,Ամուսնացած,36,2,0,1,Միջնակարգ/Ավագ դպրոց,Վատ,1,C,Վարձու աշխատող,48,8,200000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,0,,,,,"Շատ սահմանափակ իմացություն (տեղեկատվության որոնում – փաստաթղթերի ընթերցում, նամակների ընթերցում)",Երբեք,Ամեն օր,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Ոչ,Ոչ,Ոչ,0,0,0,1,1,85,4,1,,,Այո,Միջին մասնագիտական կրթություն չի պահանջվում,Այո
4,Երևան,5,Չամուսնացած,30,0,1,,Բակալավր,Բավարար,1,M,Վարձու աշխատող,40,2,196000,Ոչ,Ոչ,"Ոչ օգտակար, ոչ էլ անօգուտ",0,,,,,Մասնագիտացված իմացություն (ծրագրավորում),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Ամեն օր,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Այո,1,1,1,0,0,0,0,0,Միջին,Այո,Ոչ,Այո,0,1,0,0,1,350,15,1,130,30,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Այո
6,Շիրակ,5,Ամուսնացած,29,0,0,1,Միջին մասնագիտական,Բավարար,1,H,Վարձու աշխատող,48,5,125000,Այո,Այո,Շատ օգտակար,0,,,,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամեն օր,Երբեք,Երբեք,Երբեք,Ամեն օր,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Ամիսը մեկ անգամից քիչ,Ամեն օր,Երբեք,Այո,0,1,0,1,1,0,1,1,Միջին,Այո,Ոչ,Ոչ,1,0,0,1,1,100,15,0,,,,,
7,Երևան,4,Չամուսնացած,24,1,0,0,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,0,,,,,,,,Շատ օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Ամիսը մեկ անգամից քիչ,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր","Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Այո,1,0,1,0,0,0,0,0,Միջին,Այո,Ոչ,Ոչ,0,1,0,0,1,5000,100,1,0,0,Ոչ,Տեխնիկական քոլեջից ստացած որակավորում,Ոչ
8,Երևան,6,Այլ ,23,1,0,0,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Բավարար,0,,,,,,,,Սահմանափակ օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,Հրաժարվում եմ պատասխանել,0,0,0,0,1,950,30,1,0,0,Ոչ,Հատուկ դասընթացներ կամ վերապատրաստում,Ոչ
10,Երևան,4,Չամուսնացած,22,0,0,1,Միջնակարգ/Ավագ դպրոց,Լավ,1,I,Վարձու աշխատող,42,5,240000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Ամիսը մեկ անգամից քիչ,Երբեք,Երբեք,Երբեք,Ոչ,0,0,0,0,0,0,0,0,Համակարգչի իմացություն անհրաժեշտ չէ,Այո,Ոչ,Ոչ,1,1,0,0,1,500,10,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Ոչ
11,Երևան,7,Ամուսնացած,27,0,0,1,Միջին մասնագիտական,Բավարար,1,H,Վարձու աշխատող,24,8,224000,Ոչ,Ոչ,Բոլորովին օգտակար չէ,1,Անգլերեն,,Միջին իմացություն,,Միջին մակարդակի իմացություն (աղյուսակների և տեքստային խմբագրիչների սահմանափակ կիրառում (փաստաթղթերի կազմում)),"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Երբեք,Երբեք,Երբեք,"Շաբաթը գոնե մեկ անգամ, բայց ոչ ամեն օր",Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Երբեք,Այո,0,1,0,0,0,0,0,0,Ցածր,Այո,Այո,Այո,1,0,0,0,1,150,15,0,,,Ոչ,Միջին մասնագիտական կրթություն պահանջվում է,Այո
12,Երևան,3,Ամուսնացած,29,0,0,0,Մագիստրատուրա կամ համարժեք (Դիպլոմավորված մասնագետ),Լավ,1,G,Վարձու աշխատող,40,1,400000,Ոչ,Ոչ,Շատ օգտակար,1,Անգլերեն,,Գերազանց իմացություն,,Մասնագիտացված իմացություն (ծրագրավորում),Երբեք,Ամեն օր,Երբեք,"Շաբաթը մեկ անգամից քիչ, բայց ամիսը գոնե մեկ անգամ",Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,Ամեն օր,Երբեք,Ամեն օր,Ամեն օր,Ամեն օր,Ամեն օր,Երբեք,Այո,1,1,1,1,1,0,1,0,Բարձր,Այո,Այո,Այո,1,1,0,0,1,978,100,1,200,20,,,
